Crisil Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated on: 15-Nov-2025 10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fund Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme Name,Benchmark,Riskometer Scheme,Riskometer Benchmark,NAV Date,NAV Regular,NAV Direct,Return 1 Year (%) Regular,Return 1 Year (%) Direct,Return 1 Year (%) Benchmark,Information Ratio* 1 Year (Regular),Information Ratio* 1 Year (Direct),Return 3 Year (%) Regular,Return 3 Year (%) Direct,Return 3 Year (%) Benchmark,Information Ratio* 3 Year (Regular),Information Ratio* 3 Year (Direct),Return 5 Year (%) Regular,Return 5 Year (%) Direct,Return 5 Year (%) Benchmark,Information Ratio* 5 Year (Regular),Information Ratio* 5 Year (Direct),Return 10 Year (%) Regular,Return 10 Year (%) Direct,Return 10 Year (%) Benchmark,Information Ratio* 10 Year (Regular),Information Ratio* 10 Year (Direct),Return Since Launch Regular,Return Since Launch Direct,Return Since Launch  Benchmark,Return Since Launch Direct Benchmark,Daily AUM (Cr.)
JioBlackRock Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,,10.2400,,,,,,,,,,,,,,,,,,,,,,,,,2057.11
Kotak Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,87.1550,98.4510,11.99,12.94,9.79,0.68,0.98,16.54,17.56,16.07,0.14,0.45,17.66,18.72,19.26,-0.44,-0.14,14.49,15.62,15.08,-0.18,0.14,14.31,16.71,13.04,14.44,56256.36
LIC MF Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,103.7070,114.5955,7.50,8.56,9.79,-0.27,-0.12,15.89,16.92,16.07,-0.01,0.15,15.16,16.20,19.26,-0.70,-0.52,10.69,11.63,15.08,-0.68,-0.54,7.38,11.70,,14.48,1080.42
Mahindra Manulife Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,16.6266,17.9595,9.25,11.05,9.79,-0.22,0.36,16.50,18.51,16.07,0.11,0.70,,,,,,,,,,,12.78,14.86,14.69,14.69,1593.55
Mirae Asset Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,16.3760,17.0510,12.70,14.33,9.79,0.87,1.34,,,,,,,,,,,,,,,,19.94,21.74,21.14,21.14,3369.52
Motilal Oswal Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,62.3394,69.2726,7.21,8.13,9.79,-0.19,-0.10,21.73,22.77,16.07,0.64,0.75,17.83,18.85,19.26,-0.14,-0.02,13.80,14.81,15.08,-0.15,-0.01,17.16,18.24,15.13,15.13,14292.57
NJ Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,13.2900,13.7700,-2.71,-1.29,9.79,-1.98,-1.74,,,,,,,,,,,,,,,,13.86,15.71,16.95,16.95,2458.71
Navi Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,23.5142,27.1646,5.88,7.80,9.79,-1.01,-0.52,12.62,14.70,16.07,-0.87,-0.36,16.19,18.41,19.26,-0.78,-0.23,,,,,,12.33,14.56,14.91,14.91,264.04
Nippon India Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,16.9506,17.9993,6.12,7.49,9.79,-1.45,-0.90,16.15,17.68,16.07,0.03,0.51,,,,,,,,,,,13.23,14.84,14.35,14.35,9593.49
PGIM India Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,37.0800,43.5300,9.74,11.24,9.79,-0.03,0.37,12.90,14.47,16.07,-0.79,-0.41,17.12,18.99,19.26,-0.45,-0.07,14.13,15.92,15.08,-0.21,0.16,13.02,14.73,12.96,12.96,6376.96
Parag Parikh Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,86.0817,94.0058,9.10,9.83,9.79,-0.15,-0.06,20.67,21.56,16.07,0.53,0.64,21.06,22.09,19.26,0.14,0.25,17.66,18.56,15.08,0.18,0.26,18.82,19.66,15.20,15.20,127042.22
Quant Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,99.9491,111.4932,4.14,5.36,9.79,-0.76,-0.58,15.96,17.42,16.07,0.04,0.23,26.10,27.35,19.26,0.77,0.89,19.29,20.42,15.08,0.42,0.52,14.41,18.99,15.64,14.47,6892.92
SBI Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,112.2887,125.7482,7.12,8.00,9.43,-0.56,-0.37,13.16,14.12,15.74,-0.71,-0.47,16.52,17.55,19.21,-0.69,-0.45,13.35,14.45,15.14,-0.46,-0.20,12.76,15.84,,14.52,23268.53
Samco Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,10.0300,10.5900,-12.48,-11.31,9.79,-2.10,-1.97,1.71,3.17,16.07,-1.46,-1.29,,,,,,,,,,,0.08,1.53,14.05,14.05,352.38
Shriram Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,20.6269,23.3993,-0.92,0.70,9.79,-1.77,-1.49,10.65,12.54,16.07,-0.81,-0.51,12.91,14.90,19.26,-1.10,-0.74,,,,,,10.69,12.66,15.62,15.62,137.76
Sundaram Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,15.1793,15.9498,9.23,10.74,9.79,-0.22,0.22,14.48,16.25,16.07,-0.51,0.00,,,,,,,,,,,13.98,15.77,15.93,15.93,2136.16
TRUSTMF Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,11.6600,11.9700,4.11,5.74,9.79,-1.02,-0.70,,,,,,,,,,,,,,,,10.41,12.30,10.23,10.23,1145.46
Tata Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,24.8125,27.6593,10.11,11.52,9.79,0.02,0.36,15.81,17.31,16.07,-0.10,0.23,16.09,17.67,19.26,-0.75,-0.40,,,,,,13.47,15.20,14.31,14.31,3629.06
